엽종분류,업종명,영업자시작일,업소명,소재지도로명주소,소재지지번주소,전화번호,데이터기준일자
일반음식점,일반음식점,1972-09-27,청하,"광주광역시 동구 충장로 45-12 (충장로4가,외3필지(1층))",광주광역시 동구 충장로4가 3-4 외3필지(1층) ,062-223-7037,2020-09-18
휴게음식점,휴게음식점,1973-02-01,아송,"광주광역시 동구 구성로152번길 20 (호남동,(지하))",광주광역시 동구 호남동 3-7 (지하) ,062-223-1723,2020-09-18
일반음식점,일반음식점,1973-08-29,산탕집,광주광역시 동구 중앙로246번길 2-1 (동명동),광주광역시 동구 동명동 243-7 ,062-222-8373,2020-09-18
일반음식점,일반음식점,1973-08-30,우리집,"광주광역시 동구 증심사길30번길 33 (운림동,(1층))",광주광역시 동구 운림동 989 (1층) ,062-222-5518,2020-09-18
일반음식점,일반음식점,1973-12-15,한성회관,광주광역시 동구 충장로 45-22 (금남로4가),광주광역시 동구 금남로4가 85-1 ,062-224-2842,2020-09-18
일반음식점,일반음식점,1974-11-12,매실옥,광주광역시 동구 백서로125번길 19-6 (금동),광주광역시 동구 금동 98-14 ,062-224-7020,2020-09-18
일반음식점,일반음식점,1976-03-12,삼미,광주광역시 동구 백서로189번길 14-32 (서석동),광주광역시 동구 서석동 18-3 ,062-227-0391,2020-09-18
일반음식점,일반음식점,1976-03-19,은성반점,"광주광역시 동구 무등로304번길 55, 1층 (계림동)",광주광역시 동구 계림동 917 ,062-224-8186,2020-09-18
일반음식점,일반음식점,1977-12-03,장성,광주광역시 동구 장동로 1 (장동),광주광역시 동구 장동 62-18 ,062-227-1244,2020-09-18
일반음식점,일반음식점,1981-01-09,동해바다,광주광역시 동구 충장로46번길 6-1 (충장로5가),광주광역시 동구 충장로5가 66 ,062-224-4844,2020-09-18
휴게음식점,휴게음식점,1981-09-04,통일,광주광역시 동구 충장로 16 (충장로5가),광주광역시 동구 충장로5가 92 ,062-224-1234,2020-09-18
일반음식점,일반음식점,1981-10-27,광주식당,"광주광역시 동구 구성로194번길 25, 1층 (대인동)",광주광역시 동구 대인동 133-1 ,062-228-9907,2020-09-18
휴게음식점,휴게음식점,1982-02-13,도원,,광주광역시 동구 충장로5가 25-1 (지하) ,062-224-9996,2020-09-18
일반음식점,일반음식점,1982-06-03,새반도정,광주광역시 동구 독립로264번길 26-1 (금남로5가),광주광역시 동구 금남로5가 86-2 ,062-223-9489,2020-09-18
일반음식점,일반음식점,1982-09-07,물레방아,광주광역시 동구 지호로 137-1 (지산동),광주광역시 동구 지산동 76-5 ,062-232-6574,2020-09-18
휴게음식점,휴게음식점,1982-09-18,화신다방,"광주광역시 동구 충장로 55 (충장로4가,(2층))",광주광역시 동구 충장로4가 9-1 (2층) ,062-223-7283,2020-09-18
휴게음식점,휴게음식점,1982-12-11,로얄,"광주광역시 동구 중앙로 214 (궁동,(지하))",광주광역시 동구 궁동 7-7 (지하) ,062-227-8401,2020-09-18
일반음식점,일반음식점,1982-12-30,보람,광주광역시 동구 제봉로194번길 5-8 (대인동),광주광역시 동구 대인동 310-5 ,062-227-8669,2020-09-18
일반음식점,일반음식점,1983-05-19,영빈정,광주광역시 동구 지호로 137-3 (지산동),광주광역시 동구 지산동 76-3 ,062-227-5011,2020-09-18
일반음식점,일반음식점,1983-09-29,낙지한마당,광주광역시 동구 예술길 36 (대의동),광주광역시 동구 대의동 69-3 ,062-225-1171,2020-09-18
일반음식점,일반음식점,1983-12-07,코보네자연산회쎈타,광주광역시 동구 백서로 117 (금동),광주광역시 동구 금동 216-4 ,062-227-9244,2020-09-18
일반음식점,일반음식점,1984-01-12,청실홍실,광주광역시 동구 지호로 159 (지산동),광주광역시 동구 지산동 67-8 ,062-227-4022,2020-09-18
일반음식점,일반음식점,1989-09-20,충장빈대떡,광주광역시 동구 필문대로 161 (산수동),광주광역시 동구 산수동 539-43 ,062-263-8771,2020-09-18
일반음식점,일반음식점,1990-05-16,부흥식당,광주광역시 동구 구성로 244 (계림동),광주광역시 동구 계림동 465-26 ,062-226-1700,2020-09-18
일반음식점,일반음식점,1990-08-14,향로봉,,"광주광역시 동구 지산동 산 116-2 (1,2층) ",062-232-1214,2020-09-18
일반음식점,일반음식점,1990-11-20,동백정,,"광주광역시 동구 지산동 산 116-1 (1,2층) ",062-363-7645,2020-09-18
일반음식점,일반음식점,1990-12-06,뉴멕시칸,광주광역시 동구 동명로 71 (지산동),광주광역시 동구 지산동 722-55 ,062-232-1264,2020-09-18
일반음식점,일반음식점,1990-12-22,원조장수,광주광역시 동구 동계천로 12-1 (대인동),광주광역시 동구 대인동 319-6 ,062-225-9612,2020-09-18
일반음식점,일반음식점,1991-01-22,우래옥모밀,"광주광역시 동구 백서로153번길 16-8, 1층 (서석동)",광주광역시 동구 서석동 110 (1층) ,062-222-8574,2020-09-18
일반음식점,일반음식점,1991-02-06,천지불고기,광주광역시 동구 지산로 83 (지산동),광주광역시 동구 지산동 714-6 ,062-227-4733,2020-09-18
일반음식점,일반음식점,1991-03-05,현이네식당,광주광역시 동구 백서로125번길 9 (금동),광주광역시 동구 금동 190-2 ,062-226-5075,2020-09-18
일반음식점,일반음식점,1991-03-25,복래반점,"광주광역시 동구 동계로15번길 20-3, 1층 (동명동)",광주광역시 동구 동명동 254-24 1층 ,062-225-9670,2020-09-18
일반음식점,일반음식점,1991-03-27,오대양,광주광역시 동구 동계천로 79 (동명동),광주광역시 동구 동명동 238-2 ,062-234-1110,2020-09-18
일반음식점,일반음식점,1992-04-11,뚱이레 식당,광주광역시 동구 예술길 31-15 (대의동),광주광역시 동구 대의동 10-1 ,062-234-7942,2020-09-18
일반음식점,일반음식점,1992-08-05,명덕,"광주광역시 동구 중앙로196번길 17, 1층 (궁동)",광주광역시 동구 궁동 55-3 ,062-222-0517,2020-09-18
일반음식점,일반음식점,1992-08-11,태능회관,"광주광역시 동구 천변좌로 722, 1층 (용산동)",광주광역시 동구 용산동 259-9 1층 ,062-234-2884,2020-09-18
일반음식점,일반음식점,1992-11-05,와사등,광주광역시 동구 지호로164번길 35-1 (지산동),광주광역시 동구 지산동 산 56-1 ,062-233-3770,2020-09-18
일반음식점,일반음식점,1992-12-11,사랑방,"광주광역시 동구 경양로 303-30, 1층 (산수동)",광주광역시 동구 산수동 487-13 1층 ,062-225-1109,2020-09-18
일반음식점,일반음식점,1993-02-19,종합분식,광주광역시 동구 장동로 23-3 (장동),광주광역시 동구 장동 84-6 ,062-225-4928,2020-09-18
일반음식점,일반음식점,1993-08-02,감나무집,광주광역시 동구 지호로127번길 21 (지산동),광주광역시 동구 지산동 66-1 ,062-227-2041,2020-09-18
일반음식점,일반음식점,1993-09-09,금성,광주광역시 동구 제봉로222번길 2 (대인동),광주광역시 동구 대인동 324-19 ,062-227-4717,2020-09-18
일반음식점,일반음식점,1993-09-25,사랑방,"광주광역시 동구 중앙로160번길 13 (황금동,(8층))",광주광역시 동구 황금동 11-4 (8층) ,062-226-5266,2020-09-18
일반음식점,일반음식점,1994-01-21,남원골추어탕,광주광역시 동구 갈마로 8-1 (산수동),광주광역시 동구 산수동 535-17 ,062-265-8700,2020-09-18
일반음식점,일반음식점,1994-02-21,산토스,광주광역시 동구 천변우로 487 (학동),광주광역시 동구 학동 81-29 ,062-234-1727,2020-09-18
일반음식점,일반음식점,1994-06-03,장수회관,광주광역시 동구 지호로127번길 23 (지산동),광주광역시 동구 지산동 66 ,062-232-1049,2020-09-18
일반음식점,일반음식점,1994-06-29,구례,"광주광역시 동구 동계천로53번길 4 (계림동,(1층))",광주광역시 동구 계림동 448 (1층) ,062-234-0635,2020-09-18
일반음식점,일반음식점,1994-08-06,진미나주곰탕,"광주광역시 동구 지원로 20 (소태동,633-4)",광주광역시 동구 소태동 633-3 633-4 ,062-223-5400,2020-09-18
일반음식점,일반음식점,1994-10-20,태홍회관,광주광역시 동구 무등로 302 (계림동),광주광역시 동구 계림동 834 ,0625-1271-16,2020-09-18
일반음식점,일반음식점,1994-12-01,장원식당,광주광역시 동구 밤실로 91-1 (산수동),광주광역시 동구 산수동 510-44 ,062-222-9208,2020-09-18
일반음식점,일반음식점,1994-12-21,진도횟집,광주광역시 동구 금남로169번길 4 (금남로5가),광주광역시 동구 금남로5가 105 ,062-224-6430,2020-09-18
