,업종명,영업자시작일,업소명,소재지지번주소,lat,lng
0,일반음식점,1972-09-27,청하,광주광역시 동구 충장로4가 3-4 외3필지(1층) ,35.1504567,126.9137308
1,휴게음식점,1973-02-01,아송,광주광역시 동구 호남동 3-7 (지하) ,35.1463993,126.9142028
2,일반음식점,1973-08-29,산탕집,광주광역시 동구 동명동 243-7 ,35.15359249999999,126.9200745
3,일반음식점,1973-08-30,우리집,광주광역시 동구 운림동 989 (1층) ,35.1330521,126.9585309
4,일반음식점,1973-12-15,한성회관,광주광역시 동구 금남로4가 85-1 ,35.1507832,126.9139602
5,일반음식점,1974-11-12,매실옥,광주광역시 동구 금동 98-14 ,35.1435136,126.9179909
6,일반음식점,1976-03-12,삼미,광주광역시 동구 서석동 18-3 ,35.1457747,126.924315
7,일반음식점,1976-03-19,은성반점,광주광역시 동구 계림동 917 ,35.1600248,126.9150239
8,일반음식점,1977-12-03,장성,광주광역시 동구 장동 62-18 ,35.1493346,126.9225265
9,일반음식점,1981-01-09,동해바다,광주광역시 동구 충장로5가 66 ,35.1500194,126.9127083
10,휴게음식점,1981-09-04,통일,광주광역시 동구 충장로5가 92 ,35.1519935,126.9105145
11,일반음식점,1981-10-27,광주식당,광주광역시 동구 대인동 133-1 ,35.1515121,126.9162355
12,휴게음식점,1982-02-13,도원,광주광역시 동구 충장로5가 25-1 (지하) ,35.1512476,126.9122672
13,일반음식점,1982-06-03,새반도정,광주광역시 동구 금남로5가 86-2 ,35.1530934,126.9134466
14,일반음식점,1982-09-07,물레방아,광주광역시 동구 지산동 76-5 ,35.1494733,126.9435981
15,휴게음식점,1982-09-18,화신다방,광주광역시 동구 충장로4가 9-1 (2층) ,35.1498844,126.914139
16,휴게음식점,1982-12-11,로얄,광주광역시 동구 궁동 7-7 (지하) ,35.15164499999999,126.9175946
17,일반음식점,1982-12-30,보람,광주광역시 동구 대인동 310-5 ,35.1540228,126.9162692
18,일반음식점,1983-05-19,영빈정,광주광역시 동구 지산동 76-3 ,35.1494359,126.9437578
19,일반음식점,1983-09-29,낙지한마당,광주광역시 동구 대의동 69-3 ,35.1489601,126.9194476
20,일반음식점,1983-12-07,코보네자연산회쎈타,광주광역시 동구 금동 216-4 ,35.1417648,126.9183861
21,일반음식점,1984-01-12,청실홍실,광주광역시 동구 지산동 67-8 ,35.1498648,126.9454972
22,일반음식점,1989-09-20,충장빈대떡,광주광역시 동구 산수동 539-43 ,35.1562494,126.9319291
23,일반음식점,1990-05-16,부흥식당,광주광역시 동구 계림동 465-26 ,35.1561491,126.9178829
24,일반음식점,1990-08-14,향로봉,"광주광역시 동구 지산동 산 116-2 (1,2층) ",35.1423187,126.9410975
25,일반음식점,1990-11-20,동백정,"광주광역시 동구 지산동 산 116-1 (1,2층) ",35.1434933,126.9401704
26,일반음식점,1990-12-06,뉴멕시칸,광주광역시 동구 지산동 722-55 ,35.1511126,126.9283691
27,일반음식점,1990-12-22,원조장수,광주광역시 동구 대인동 319-6 ,35.1562076,126.9140429
28,일반음식점,1991-01-22,우래옥모밀,광주광역시 동구 서석동 110 (1층) ,35.1445523,126.9220759
29,일반음식점,1991-02-06,천지불고기,광주광역시 동구 지산동 714-6 ,35.1510951,126.9330314
30,일반음식점,1991-03-05,현이네식당,광주광역시 동구 금동 190-2 ,35.1426121,126.9186887
31,일반음식점,1991-03-25,복래반점,광주광역시 동구 동명동 254-24 1층 ,35.1542082,126.922606
32,일반음식점,1991-03-27,오대양,광주광역시 동구 동명동 238-2 ,35.1527828,126.9200468
33,일반음식점,1992-04-11,뚱이레 식당,광주광역시 동구 대의동 10-1 ,35.1498595,126.9198297
34,일반음식점,1992-08-05,명덕,광주광역시 동구 궁동 55-3 ,35.1496927,126.9177017
35,일반음식점,1992-08-11,태능회관,광주광역시 동구 용산동 259-9 1층 ,35.1199639,126.93151
36,일반음식점,1992-11-05,와사등,광주광역시 동구 지산동 산 56-1 ,35.149674,126.9500004
37,일반음식점,1992-12-11,사랑방,광주광역시 동구 산수동 487-13 1층 ,35.155115,126.9221023
38,일반음식점,1993-02-19,종합분식,광주광역시 동구 장동 84-6 ,35.1482662,126.9244216
39,일반음식점,1993-08-02,감나무집,광주광역시 동구 지산동 66-1 ,35.1498776,126.9439639
40,일반음식점,1993-09-09,금성,광주광역시 동구 대인동 324-19 ,35.1550049,126.9139063
